date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:14	35194/35194	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-897a%22	https://codewithsadee.github.io/foodie/assets/images/avatar-3.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/avatar-3.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:14	124313/124313	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-1e599%22	https://codewithsadee.github.io/foodie/assets/images/banner-1.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/banner-1.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:14	136643/136643	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-215c3%22	https://codewithsadee.github.io/foodie/assets/images/banner-2.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/banner-2.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:15	116811/116811	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-1c84b%22	https://codewithsadee.github.io/foodie/assets/images/banner-3.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/banner-3.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:15	85207/85207	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-14cd7%22	https://codewithsadee.github.io/foodie/assets/images/banner-4.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/banner-4.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:15	60369/60369	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-ebd1%22	https://codewithsadee.github.io/foodie/assets/images/blog-1.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/blog-1.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:15	50211/50211	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-c423%22	https://codewithsadee.github.io/foodie/assets/images/blog-2.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/blog-2.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:15	47535/47535	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-b9af%22	https://codewithsadee.github.io/foodie/assets/images/blog-3.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/blog-3.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:16	45086/45086	---M--	200	added ('OK')	image/png	etag:%2264f0764b-b01e%22	https://codewithsadee.github.io/foodie/assets/images/footer-illustration.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/footer-illustration.png	(from https://codewithsadee.github.io/foodie/)
14:19:16	2202/2202	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264f0764b-89a%22	https://codewithsadee.github.io/foodie/assets/js/script.js	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/js/script.js	(from https://codewithsadee.github.io/foodie/)
14:19:16	399/399	---MCZ	200	added ('OK')	application/javascript	etag:%2218f-B+zGUTbQ1uVsG8y1uf+53Qdwne0%22	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	C:/My%20Web%20Sites/sayt/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	(from https://codewithsadee.github.io/foodie/)
14:19:17	119513/119513	---MCZ	200	added ('OK')	application/javascript	etag:%221d2d9-GfzwmKFRyI8c779QM/TeRXFTXj0%22	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	C:/My%20Web%20Sites/sayt/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	(from https://codewithsadee.github.io/foodie/)
14:19:17	2998/2998	---M--	200	added ('OK')	image/png	etag:%2264f0764b-bb6%22	https://codewithsadee.github.io/foodie/assets/images/shape-white.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/shape-white.png	(from https://codewithsadee.github.io/foodie/assets/css/style.css)
14:19:17	2902/2902	---M--	200	added ('OK')	image/png	etag:%2264f0764b-b56%22	https://codewithsadee.github.io/foodie/assets/images/shape-grey.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/shape-grey.png	(from https://codewithsadee.github.io/foodie/assets/css/style.css)
14:19:17	179/179	---M--	200	added ('OK')	image/png	etag:%2264f0764b-b3%22	https://codewithsadee.github.io/foodie/assets/images/close.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/close.png	(from https://codewithsadee.github.io/foodie/assets/css/style.css)
14:19:18	50103/50103	---M--	200	added ('OK')	image/png	etag:%2264f0764b-c3b7%22	https://codewithsadee.github.io/foodie/assets/images/hero-bg-shape.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/hero-bg-shape.png	(from https://codewithsadee.github.io/foodie/assets/css/style.css)
